,City,Country,Latitude,Longitude,Max Temperature (F),Humidity,Cloudiness,Windspeed (mph),Date
102,Atuona,PF,-9.8,-139.0333,76.82,70,80,13.53,1667865037
103,Kalabo,ZM,-14.97,22.6814,68.47,79,100,4.36,1667865428
104,Berdigestyakh,RU,62.0989,126.6992,-27.62,100,50,2.15,1667865429
105,Codrington,AU,-38.2667,141.9667,72.14,68,3,9.91,1667865429
106,Saskylakh,RU,71.9167,114.0833,-23.64,99,26,5.5,1667865429
107,Mocuba,MZ,-16.8392,36.9856,72.43,90,7,3.0,1667865430
108,Bonavista,CA,48.6499,-53.1147,52.45,94,100,20.15,1667865430
109,Augusto Corrêa,BR,-1.0217,-46.635,74.77,95,99,2.59,1667865430
110,Terney,RU,45.0503,136.6092,41.05,67,6,6.44,1667865431
111,Azanka,RU,58.0401,64.7893,28.87,95,99,6.76,1667865431
112,Mussomeli,IT,37.5778,13.7513,52.86,79,6,3.58,1667865431
113,Salalah,OM,17.0151,54.0924,74.84,72,0,2.64,1667865100
114,Tasiilaq,GL,65.6145,-37.6368,29.82,97,100,6.82,1667865372
115,Banjarmasin,ID,-3.3244,114.591,78.12,85,90,2.35,1667865432
116,Cadillac,US,44.2519,-85.4012,37.31,70,40,5.75,1667865432
117,Kashgar,CN,39.4547,75.9797,43.81,65,20,4.47,1667865433
118,Borzya,RU,50.3833,116.5167,24.91,77,33,3.58,1667865433
119,Ostrovnoy,RU,68.0531,39.5131,30.42,94,96,4.36,1667865433
120,Ponta do Sol,PT,32.6667,-17.1,68.72,87,76,4.16,1667865367
121,Lensk,RU,60.7253,114.9278,21.85,90,100,11.16,1667865434
122,Kurri Kurri,AU,-32.8167,151.4833,72.18,65,17,6.31,1667865434
123,Hithadhoo,MV,-0.6,73.0833,81.55,77,60,18.21,1667865435
124,Tiksi,RU,71.6872,128.8694,0.84,91,100,18.52,1667865372
125,Sosnovo,RU,60.5514,30.2144,38.48,90,100,9.89,1667865435
126,Yellowknife,CA,62.456,-114.3525,7.32,78,75,4.61,1667865291
127,Saint-François,FR,46.4154,3.9054,42.24,93,0,2.3,1667865436
128,Nome,US,64.5011,-165.4064,32.07,93,100,32.21,1667865181
129,Japura,ID,-0.3167,102.35,73.78,96,100,0.85,1667865437
130,Coahuayana Viejo,MX,18.7333,-103.6833,78.69,84,9,4.0,1667865437
131,Pevek,RU,69.7008,170.3133,1.54,95,12,1.25,1667865012
132,Faanui,PF,-16.4833,-151.75,78.75,74,17,6.67,1667865292
133,Mar del Plata,AR,-38.0023,-57.5575,64.09,88,0,16.11,1667865159
134,Abhā,SA,18.2164,42.5053,57.02,94,25,5.75,1667865438
135,Ilulissat,GL,69.2167,-51.1,-7.35,88,23,6.51,1667865021
136,Northam,GB,51.0333,-4.2167,53.38,94,100,19.95,1667865438
137,Severo-Kuril'sk,RU,50.6789,156.125,37.85,85,90,12.44,1667865366
138,São Raimundo Nonato,BR,-9.0153,-42.6994,80.37,58,99,1.41,1667865439
139,Valday,RU,57.9747,33.2525,38.1,97,100,7.96,1667865439
140,Provideniya,RU,64.3833,-173.3,32.11,74,100,17.9,1667865292
141,Zhigansk,RU,66.7697,123.3711,-8.73,94,100,6.15,1667865440
142,Rūdbār,AF,30.15,62.6,66.76,30,43,5.91,1667865440
143,Port Hardy,CA,50.6996,-127.4199,37.58,48,20,19.57,1667865334
144,Port Keats,AU,-14.25,129.55,90.39,51,14,8.21,1667865441
145,Myanaung,MM,18.2833,95.3167,68.14,85,14,5.99,1667865441
146,Yinchuan,CN,38.4681,106.2731,44.91,43,91,5.35,1667865441
147,Ariogala,LT,55.2667,23.4667,43.81,86,91,8.79,1667865442
148,Khovd,MN,48.0056,91.6419,34.61,44,99,9.95,1667865187
149,Vaini,TO,-21.2,-175.2,80.76,69,20,10.36,1667865299
150,Kresttsy,RU,58.2452,32.5165,40.06,93,100,8.41,1667865442
151,Bredasdorp,ZA,-34.5322,20.0403,57.15,91,25,5.7,1667865443
152,Kieta,PG,-6.2167,155.6333,85.28,70,23,7.14,1667865443
153,Codó,BR,-4.4553,-43.8856,76.93,88,100,1.59,1667865443
154,Umm Bāb,QA,25.2142,50.8072,79.02,56,0,4.9,1667865444
155,Arlit,NE,18.7369,7.3853,71.96,20,12,8.5,1667865444
156,Touros,BR,-5.1989,-35.4608,78.3,75,96,11.36,1667865444
157,Cape Town,ZA,-33.9258,18.4232,61.12,85,16,1.01,1667865253
158,Liepāja,LV,56.5419,21.0367,51.78,93,75,21.85,1667865445
159,Waitati,NZ,-45.75,170.5667,62.29,58,45,5.68,1667865445
160,Port Lincoln,AU,-34.7333,135.8667,77.94,42,99,16.78,1667865446
161,Heiligenhafen,DE,54.3667,10.9833,55.06,91,100,18.86,1667865446
162,Airai,TL,-8.9266,125.4092,69.98,67,97,0.72,1667865446
163,Lamas,PE,-6.4167,-76.5333,81.07,67,47,2.62,1667865153
164,Narsaq,GL,60.9167,-46.05,18.41,79,99,7.14,1667865447
165,Aksarka,RU,66.5606,67.7975,20.37,96,100,4.18,1667865447
166,Nhulunbuy,AU,-12.2333,136.7667,88.41,66,75,5.75,1667865447
167,Camacha,PT,33.0833,-16.3333,63.82,94,20,2.3,1667865448
168,Arraial do Cabo,BR,-22.9661,-42.0278,69.76,78,75,2.3,1667865448
169,Toora-Khem,RU,52.4675,96.11,24.13,98,100,1.34,1667865449
170,Thompson,CA,55.7435,-97.8558,-2.04,84,20,4.61,1667865297
171,Port Blair,IN,11.6667,92.75,77.04,88,40,2.3,1667865449
172,Ribeira Grande,PT,38.5167,-28.7,63.77,69,100,7.0,1667865449
173,Eyrarbakki,IS,63.863,-21.1481,44.2,74,99,22.17,1667865450
174,Labuhan,ID,-6.8844,112.2051,79.43,80,100,5.3,1667865450
175,Tual,ID,-5.6667,132.75,83.82,72,100,9.8,1667865450
176,Mathbaria,BD,22.2876,89.9593,66.67,88,2,2.35,1667865451
177,Ancud,CL,-41.8697,-73.8203,53.78,96,85,4.54,1667865371
178,Hermosillo,MX,29.0667,-110.9667,81.28,25,95,1.99,1667865317
179,Linxia Chengguanzhen,CN,35.6003,103.2064,41.77,77,17,2.53,1667865451
180,Kabalo,CD,-6.05,26.9167,69.58,86,84,1.28,1667865452
181,Bay-Khaak,RU,51.1667,94.5,22.93,88,97,2.89,1667865452
182,Bengkulu,ID,-3.8004,102.2655,74.35,91,100,2.71,1667865452
183,Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,78.1,30,82,9.78,1667865453
184,Kayunga,UG,0.7025,32.8886,63.91,98,100,0.85,1667865453
185,Gamba,GA,-2.65,10.0,76.84,90,100,6.87,1667865453
186,Malanje,AO,-9.5402,16.341,63.41,93,96,4.54,1667865454
187,Chissamba,AO,-12.1667,17.3333,64.17,89,100,2.84,1667865454
188,Tandil,AR,-37.3217,-59.1332,64.69,46,0,16.42,1667865323
189,Antofagasta,CL,-23.65,-70.4,60.08,81,39,5.08,1667865454
190,Hualmay,PE,-11.0964,-77.6139,63.93,82,12,7.16,1667865455
191,Macia,MZ,-25.0269,33.0989,70.47,94,29,5.03,1667865455
192,Wajima,JP,37.4,136.9,54.28,100,20,4.61,1667865455
193,São Filipe,CV,14.8961,-24.4956,78.06,67,69,4.0,1667865456
194,Castro,BR,-24.7911,-50.0119,51.8,91,8,6.04,1667865456
195,Ust'-Kulom,RU,61.6864,53.6902,26.71,95,96,6.13,1667865456
196,Ibrā’,OM,22.6906,58.5334,70.74,71,46,3.76,1667865457
197,Lompoc,US,34.6391,-120.4579,60.85,90,75,8.05,1667865457
198,Kurchum,KZ,48.5722,83.6542,43.95,59,100,2.48,1667865458
199,Mirante do Paranapanema,BR,-22.2919,-51.9064,66.0,48,31,5.32,1667865458
200,Bagotville,AU,-28.9833,153.4167,63.86,99,30,7.47,1667865458
201,Demba,CD,-5.51,22.2667,65.86,95,98,1.48,1667865459
202,Erenhot,CN,43.6475,111.9767,34.05,32,6,9.62,1667865295
203,Panguipulli,CL,-39.6333,-72.3333,55.92,68,8,1.01,1667865459
204,East London,ZA,-33.0153,27.9116,67.93,86,100,13.82,1667865459
205,Flinders,AU,-34.5833,150.8552,74.17,62,45,5.01,1667865460
206,Verkhnyaya Inta,RU,65.9811,60.3094,25.72,91,100,12.5,1667865460
207,Jinchang,CN,38.4953,102.1739,38.75,40,96,5.23,1667865461
208,Barranco,PA,9.5167,-82.7,73.9,93,100,2.68,1667865461
209,Pontes e Lacerda,BR,-15.2261,-59.3353,75.43,40,0,5.3,1667865461
210,Paamiut,GL,61.994,-49.6678,17.69,59,99,6.6,1667865462
211,Pinkafeld,AT,47.3667,16.1167,43.75,85,80,3.58,1667865462
212,Kenora,CA,49.8167,-94.4337,29.37,80,100,3.44,1667865462
213,Arrondissement de Bourges,FR,47.25,2.4167,47.79,78,100,8.03,1667865463
214,Shenjiamen,CN,29.9576,122.298,65.34,64,0,6.29,1667865463
215,Bako,ET,5.7833,36.5667,64.81,69,99,3.83,1667865463
216,Vagay,RU,57.9375,69.0217,25.93,89,47,5.23,1667865464
217,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,78.39,30,1,3.56,1667865464
218,Kavaratti,IN,10.5669,72.642,81.39,74,32,6.89,1667865464
219,Fortuna,US,40.5982,-124.1573,49.08,91,100,5.01,1667865465
220,Honiara,SB,-9.4333,159.95,85.77,71,40,6.13,1667865465
221,Lagoa,PT,39.05,-27.9833,62.96,68,100,19.39,1667865466
222,Kemin,KG,42.7846,75.6892,39.92,94,100,1.61,1667865466
223,Vila Franca do Campo,PT,37.7167,-25.4333,61.21,85,100,6.44,1667865466
224,Koyelga,RU,54.6522,60.9049,22.71,93,84,4.94,1667865467
225,Khiri Mat,TH,16.8333,99.8,68.04,92,1,3.98,1667865467
226,Los Llanos de Aridane,ES,28.6585,-17.9182,65.95,53,0,8.05,1667865191
227,Iqaluit,CA,63.7506,-68.5145,19.13,62,75,15.01,1667865467
228,Balkhash,KZ,46.844,74.9804,42.55,87,100,16.37,1667865468
229,Dhubri,IN,26.0333,89.9667,67.41,90,0,6.38,1667865468
230,Jasper,US,37.2001,-94.3502,63.23,52,95,1.01,1667865468
231,Barra de Tecoanapa,MX,16.5167,-98.75,81.66,81,84,7.16,1667865469
232,Vypolzovo,RU,57.8767,33.6986,37.98,97,100,7.9,1667865469
233,Skovorodino,RU,53.9833,123.9167,12.4,93,52,0.72,1667865469
234,Waddān,LY,29.1614,16.139,60.08,69,0,5.5,1667865470
235,Esim,GH,4.8699,-2.2405,78.28,86,100,5.03,1667865470
236,Cocobeach,GA,1.0002,9.5823,79.45,84,100,6.87,1667865470
237,Olafsvik,IS,64.8945,-23.7142,42.4,74,89,14.2,1667865471
238,Noumea,NC,-22.2763,166.4572,78.01,99,95,17.09,1667865402
239,Ust-Nera,RU,64.5667,143.2,-23.33,99,77,3.71,1667865471
240,Marawi,PH,7.9986,124.2928,75.52,81,49,0.6,1667865472
241,Evanston,US,42.0411,-87.6901,48.58,59,37,4.0,1667865156
242,Cairns,AU,-16.9167,145.7667,86.11,65,100,11.5,1667865324
243,Damietta,EG,31.4165,31.8133,66.09,72,4,14.14,1667865472
244,Kavieng,PG,-2.5744,150.7967,84.18,70,90,5.44,1667865472
245,Yunyang,CN,33.4474,112.7142,54.82,59,56,5.77,1667865473
246,Vardø,NO,70.3705,31.1107,33.78,86,100,6.91,1667865474
247,Hamilton,US,39.1834,-84.5333,59.74,33,49,3.0,1667865474
248,Kuybyshevo,RU,47.8123,38.9073,34.36,84,41,7.83,1667865474
249,Mount Isa,AU,-20.7333,139.5,89.37,33,0,8.05,1667865223
250,Shahrud,IR,36.4182,54.9763,38.37,74,43,5.91,1667865475
251,Naze,JP,28.3667,129.4833,67.12,60,11,10.07,1667865475
252,Okhotsk,RU,59.3833,143.3,7.48,69,31,18.9,1667865475
253,Rawson,AR,-43.3002,-65.1023,63.88,58,82,16.4,1667865358
254,Hervey Bay,AU,-25.2986,152.8535,72.61,55,31,14.07,1667865476
255,Bartlesville,US,36.7473,-95.9808,67.1,63,100,10.29,1667865476
256,Esik,KZ,43.3552,77.4525,38.62,89,100,1.43,1667865477
257,Akdepe,TM,42.0551,59.3788,39.29,77,86,13.49,1667865477
258,Kayerkan,RU,69.3497,87.7602,-4.49,83,99,2.98,1667865477
259,Omboué,GA,-1.5746,9.2618,76.33,91,100,5.17,1667865478
260,Gao,ML,16.6362,1.637,73.38,15,95,12.01,1667865478
261,São João da Barra,BR,-21.6403,-41.0511,71.69,73,51,5.77,1667865191
262,Longyearbyen,SJ,78.2186,15.6401,24.64,80,75,13.8,1667865479
263,Kaitangata,NZ,-46.2817,169.8464,58.91,65,62,4.65,1667865479
264,Bonfim,BR,3.0833,-59.95,78.01,85,100,3.38,1667865479
265,Keti Bandar,PK,24.1447,67.4497,76.62,71,1,4.65,1667865480
266,Coquimbo,CL,-29.9533,-71.3436,58.73,82,100,8.05,1667865189
267,Sur,OM,22.5667,59.5289,81.1,63,88,9.35,1667865480
268,Rio Grande,BR,-32.035,-52.0986,62.71,75,24,14.99,1667865203
269,Viedma,AR,-40.8135,-62.9967,68.79,46,17,15.52,1667865481
270,Gonbad-e Kāvūs,IR,37.25,55.1672,50.07,59,90,2.86,1667865482
271,Dakar,SN,14.6937,-17.4441,78.93,83,0,4.61,1667865392
272,San Patricio,US,28.017,-97.5169,80.17,77,4,11.05,1667865482
273,Berestechko,UA,50.3605,25.1107,46.99,93,77,6.17,1667865483
274,Karema,TZ,-6.8205,30.4389,71.62,83,65,4.59,1667865483
275,Dunedin,NZ,-45.8742,170.5036,58.59,70,48,9.33,1667865483
276,Paralímni,CY,35.0375,33.9833,59.88,75,84,12.3,1667865484
277,Mandan,US,46.8267,-100.8896,28.36,83,100,21.85,1667865484
278,Altay,CN,47.8667,88.1167,38.03,48,63,6.42,1667865485
279,Nizhneangarsk,RU,55.7833,109.55,22.24,68,92,11.03,1667865485
280,Umeå,SE,63.8284,20.2597,33.91,100,100,10.36,1667865485
281,São Luiz Gonzaga,BR,-28.4083,-54.9608,61.88,65,2,13.04,1667865486
282,Havre-St-Pierre,CA,50.2334,-63.5986,43.16,87,0,23.02,1667865220
283,Chicama,PE,-7.8447,-79.1469,61.34,77,19,6.6,1667865486
284,Leningradskiy,RU,69.3833,178.4167,14.7,88,100,6.55,1667865487
285,Ventspils,LV,57.3894,21.5606,51.73,100,100,16.11,1667865411
286,Nicoya,CR,10.1483,-85.452,74.14,94,99,2.68,1667865488
287,Chaykovskiy,RU,56.7686,54.1148,29.17,97,100,5.99,1667865488
288,Bay Roberts,CA,47.5999,-53.2648,62.33,95,99,15.01,1667865488
289,Oranjemund,NA,-28.55,16.4333,59.79,91,33,6.8,1667865489
290,Pangnirtung,CA,66.1451,-65.7125,14.0,48,0,3.44,1667865489
291,Kruisfontein,ZA,-34.0033,24.7314,57.38,83,100,5.26,1667865489
292,Bemidji,US,47.4736,-94.8803,32.05,83,0,0.0,1667865490
293,Meulaboh,ID,4.1363,96.1285,76.35,87,94,2.01,1667865490
294,Saint George,US,37.1041,-113.5841,70.39,33,0,24.16,1667865318
295,Killybegs,IE,54.6333,-8.45,49.51,84,98,18.84,1667865491
296,Cidreira,BR,-30.1811,-50.2056,62.15,82,33,13.09,1667865491
297,Tura,IN,25.5198,90.2201,63.41,83,1,3.67,1667865491
298,Debre Tabor,ET,11.85,38.0167,50.07,66,16,3.15,1667865492
299,Isangel,VU,-19.55,169.2667,75.31,88,100,9.22,1667865492
300,Mongu,ZM,-15.2484,23.1274,68.59,84,90,4.52,1667865493
301,San Juan,AR,-31.5375,-68.5364,82.72,22,77,16.71,1667865442
302,Port Macquarie,AU,-31.4333,152.9167,69.89,73,66,5.95,1667865493
303,Gomel,BY,52.4345,30.9754,42.82,86,75,11.18,1667865494
304,May Pen,JM,17.9645,-77.2451,79.81,86,54,1.45,1667865494
305,Solec Kujawski,PL,53.0837,18.2257,49.87,94,0,9.22,1667865495
306,Tsurugi-asahimachi,JP,36.45,136.6333,61.86,63,40,5.82,1667865495
307,Esperance,AU,-33.8667,121.9,58.84,76,99,15.48,1667865495
308,Galle,LK,6.0367,80.217,76.62,86,100,3.83,1667865260
309,Nouadhibou,MR,20.931,-17.0347,69.78,78,6,10.36,1667865496
310,Xichang,CN,27.8964,102.2634,50.34,88,2,0.72,1667865496
311,Moranbah,AU,-22.0016,148.0466,79.21,42,0,13.65,1667865497
312,Sabang,ID,5.8933,95.3214,81.32,75,100,13.09,1667865497
313,Pemberton,CA,50.3164,-122.8027,28.09,75,98,7.36,1667865497
314,Laramie,US,41.3114,-105.5911,41.95,47,81,13.58,1667865327
315,Pahrump,US,36.2083,-115.9839,64.26,46,99,18.99,1667865378
316,Egvekinot,RU,66.3167,-179.1667,19.33,86,100,15.64,1667865499
317,Scranton,US,41.409,-75.6624,54.88,37,0,9.55,1667865500
318,Søndersø,DK,55.4853,10.2554,55.02,93,99,14.97,1667865500
319,Barbacena,BR,-21.2258,-43.7736,56.71,100,100,5.75,1667865500
320,Bubaque,GW,11.2833,-15.8333,83.75,65,89,13.6,1667865501
321,Guwahati,IN,26.1862,91.751,67.91,100,40,0.0,1667865433
322,Skjervøy,NO,70.0311,20.9714,41.0,71,45,9.48,1667865502
323,Honmachi,JP,32.5,130.6,57.6,55,0,6.4,1667865502
324,Hasaki,JP,35.7333,140.8333,57.6,65,38,15.03,1667865502
325,Moba,CN,33.2288,105.0179,44.46,88,79,4.25,1667865503
326,Road Town,VG,18.4167,-64.6167,82.44,89,20,11.5,1667865503
327,Sibolga,ID,1.7427,98.7792,76.26,82,100,2.8,1667865504
328,Mavrovi Anovi,MK,41.7025,20.7564,43.18,81,27,2.57,1667865504
329,Bulgan,MN,48.8125,103.5347,31.57,51,23,5.68,1667865238
330,Hvolsvollur,IS,63.7533,-20.2243,39.04,83,100,15.08,1667865505
331,Deputatsky,RU,69.3,139.9,-6.05,94,100,5.79,1667865505
332,Manga,BF,11.6636,-1.0731,75.18,16,18,7.14,1667865506
333,Shellbrook,CA,53.2168,-106.4011,9.63,91,100,15.05,1667865506
334,Butembo,CD,0.15,29.2833,57.52,96,99,2.01,1667865506
335,Mumbwa,ZM,-14.9783,27.0619,65.48,89,96,2.37,1667865507
336,Bowling Green,US,36.9903,-86.4436,69.55,54,7,9.17,1667865330
337,Arinos,BR,-15.9169,-46.1056,72.86,68,88,1.72,1667865507
338,Bosobolo,CD,4.1833,19.9,69.17,97,99,2.06,1667865507
339,Neuquén,AR,-38.9516,-68.0591,85.89,28,40,9.22,1667865508
340,Cockburn Town,TC,21.4612,-71.1419,80.38,73,76,8.52,1667865508
341,Oussouye,SN,12.485,-16.5469,78.89,65,100,6.44,1667865509
342,Tikrit,IQ,34.6071,43.6782,64.62,28,41,5.61,1667865509
343,Elliot Lake,CA,46.3834,-82.6331,36.45,72,52,8.41,1667865431
344,Uvalde,US,29.3669,-99.767,83.12,64,0,10.36,1667865510
345,The Valley,AI,18.217,-63.0578,80.46,94,20,5.75,1667865486
346,Tigil',RU,57.8,158.6667,20.55,94,100,5.3,1667865510
347,Grand Gaube,MU,-20.0064,57.6608,72.0,77,3,1.99,1667865511
348,Weyburn,CA,49.6668,-103.8511,21.42,86,100,33.38,1667865511
349,Homer,US,59.6425,-151.5483,39.09,78,100,14.97,1667865512
350,Syracuse,IT,37.0881,15.2792,54.77,71,1,4.34,1667865512
351,Westport,US,41.1415,-73.3579,69.78,31,3,11.18,1667865513
352,Tovste,UA,48.8466,25.7262,49.96,86,100,4.52,1667865513
353,Hofn,IS,64.2539,-15.2082,43.11,92,100,24.9,1667865514
354,Dublin,US,37.7021,-121.9358,57.83,64,31,1.99,1667865422
355,Gizo Government Station,SB,-8.103,156.8419,83.61,73,90,8.57,1667865514
